MUNICÍPIO;LOCALIDADE;LONGITUDE;LATITUDE 
BOTUPORÃ ;GROTÃO ;42°34'03,7''; 13°26'18,8'' -
CAETITÉ ;CALDEIRAS ;42°34'32 ''; 13°37'55 '' -
CAETITÉ ;LAGOA DO CANTO (DOIS) ;42°27'35,1''; 13°58'31,5'' -
CAETITÉ ;SÍTIO DO OURO ;42°32'49,6''; 13°56'33,1'' -
ÉRICO CARDOSO ;TAPERA ;42°08'18,2''; 13°19'46,3'' -
TANQUE NOVO ;VEREDA DO TÔCO ;42°33'53,2''; 13°26'45,2'' -
CAETITÉ;VARGEM FORMOSA;"42º31'41,3 """;"13º58'24,9 """
PARATINGA ;CONCEIÇÃO ;42°59'23 ''; 12°41'00 '' -
CAETITÉ;LAGOA AZUL;"42º28'15,50""";"14º14'05,40"""
ARACATU;ANGICO;"41º14'03,5 """;"14º19'01,4 """
RIACHO DE SANTANA;BARREIRO DO BOM SUCESSO;"42º53'23,60""";"13º33'56,40"""
PARATINGA;MACAMBIRA;"43º08'05,6 """;"12º32'53,16"""
PARATINGA;PONTE;"º ' """;" º ' """
PARATINGA;SALINAS;"43º00'32,9 """;"12º37'21,2 """
PARATINGA;VOLTA DA SERRA;"43º07'00,8 """;"12º34'04,0 """
RIACHO DE SANTANA;JUÁ;"43º09'24,10""";"13º27'30,10"""
RIACHO DE SANTANA;PAJEÚ DE BOTUQUARA;"42º51'01,0 """;"13º37'11,5 """
RIO DO PIRES;CURRAL QUEIMADO;"42º20'01,0 """;"13º02'23,3 """
RIO DO PIRES;MULUNGU;"42º16'08,9 """;"13º02'10,1 """
TANQUE NOVO;BOCA DO CAMPO;"42º25'06 """;"13º29'04 """
TANQUE NOVO;MAGRAS UM;"42º37'50,4 """;"13º28'06,10"""
TANQUE NOVO;MURICI;"42º38'40,7 """;"13º30'51,5 """
TANQUE NOVO;VÁRZEA SUJA;"º ' """;" º ' """
URANDI;PEDRAS;"42º41'45,8 """;"14º44'02,4 """
PARATINGA;PERIQUITO;"43º10'12,6 """;"12º42'05,50"""
CAETITÉ;CINZEIRO;"42º32'02,5 """;"14º01'08,0 """
CATURAMA;SACO DOS BOIS;"42º20'09,9 """;"13º06'26,0 """
RIACHO DE SANTANA;OLHO D'ÁGUA DA SERRA;"42º42'14,70""";"13º26'37,20"""
PARATINGA;SAQUINHO;"º ' """;" º ' """
RIACHO DE SANTANA;BARRO VERMELHO;"43º12'48,5 """;"13º37'37,6 """
RIACHO DE SANTANA;CAMPINAS;"43º07'17,76""";"13º56'54,57"""
RIACHO DE SANTANA;SANTA ISABEL;"42º54'46,61""";"13º31'57,09"""
DOM BASÍLIO;BARRA DO BERNARDO;"41º39'38,9 """;"13º48'32,0 """
ITUAÇÚ;A ÇUDE;"41º24'03,5 """;"13º48'00,9 """
ITUAÇÚ;B OCA DA MATA;"41º26'06,8 """;"13º42'06,5 """
ITUAÇÚ;RIACHAO;"41º24'57.37""";"13º48'52.21"""
MACAÚBAS;LAGOA CLARA;"42º40'57,7 """;"13º24'38,1 """
ITUAÇÚ;SÃO JOSÉ;"41º23'29,1 """;"13º50'08,1 """
PARATINGA;LAGOA DE CIMA;"42º58'45,20""";"12º46'30,60"""
MORTUGABA;CAPÃO DA RIPA;"42º14'05,7 """;"14º57'43,8 """
LIVRAMENTO DE NOSSA SENHORA;V ÁRZEA DOS REIS;"42º00'39,00""";"13º39'20,00"""
MACAÚBAS;B UQUEIRÃOZINHO MAXIXE;"42º42'31,7 """;"13º08'48,0 """
GUAJERÚ ;LAGOA DO BINO ;42°05'40,8''; 14°34'33,9'' -
CAETITÉ ;CRISTAL ;42°36'24,3''; 13°45'44,7'' -
PARATINGA;PEREIRO DO MOCAMBO;"43º11'10,41""";"12º32'53,31"""
TANQUE NOVO;BARROCAS;"42º39'16,0 """;"13º30'52,2 """
MACAÚBAS;S ÃO JOSÉ;"42º47'29,9 """;"13º10'59,2 """
PARATINGA;POÇÃO DE SANTO ANTÔNIO;"43º16'17,93""";"12º50'00,74"""
MORTUGABA;G UARITI;"42º22'24,4 """;"14º58'47,1 """
PARATINGA;P AULISTA;"43º01'50,8 """;"12º28'38,1 """
